LapNumber,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,improve_LapTime,improve_Sector1Time,improve_Sector2Time,improve_Sector3Time,did_pit,Position
1.0,0.44822385478164156,-0.36708288252325266,-1.2229371288986872,-0.8470059261898503,1.0,1.0,1.0,0.0,0,0,1,1,0,
2.0,1.2699675885479846,1.4477088962433893,1.5992254762521048,1.4298331551436394,0.0,1.0,2.0,0.0,0,0,0,0,0,
3.0,-1.547439498650906,-1.4559579497832378,,-0.8170475172249358,1.0,1.0,3.0,0.0,0,0,1,0,1,
4.0,-0.8933985676940206,0.04124526769924174,1.0347929552219464,-0.6372970634354499,1.0,1.0,4.0,1.0,1,1,1,1,0,
5.0,1.2364270279860932,1.4703937934779723,-0.6585046078685288,1.459791564108554,1.0,1.0,5.0,1.0,0,0,0,0,0,
6.0,-1.614520619774689,-1.1383693884990755,,0.321372023441809,1.0,1.0,6.0,1.0,0,0,1,1,1,
7.0,0.23021021112934645,-0.5712469576344998,,-0.5474218365407069,1.0,1.0,7.0,1.0,1,1,0,0,1,
8.0,-0.05488455364673177,0.01856037046465872,-0.09407208683837043,-1.446174105488137,1.0,0.0,1.0,0.0,0,0,1,1,0,
9.0,1.2364270279860932,1.5384484851817213,-0.6585046078685288,1.4897499730734682,0.0,0.0,2.0,0.0,0,0,0,0,0,
10.0,-0.49091184095132195,-0.4124526769924187,,0.14162156965232295,1.0,0.0,3.0,0.0,0,0,1,1,1,
11.0,0.17989937028650912,-0.5712469576344998,,-0.5474218365407069,1.0,0.0,4.0,1.0,0,0,0,0,1,
